label,power,mode,temperature_c,fan,protocol,protocol_name,code2,source_code,confidence,notes
cool_16_low,on,Cooling,16,Low,100,TRUMA,F1FFFFFFE6F217,"100,0xF1FFFFFFE6F217,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_16_medium,on,Cooling,16,Medium,100,TRUMA,E9FFFFFFE6EA17,"100,0xE9FFFFFFE6EA17,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_16_high,on,Cooling,16,High,100,TRUMA,E1FFFFFFE6E217,"100,0xE1FFFFFFE6E217,56",verified,verified from remote
cool_17_low,on,Cooling,17,Low,100,TRUMA,F2FFFFFFE7F217,"100,0xF2FFFFFFE7F217,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_17_medium,on,Cooling,17,Medium,100,TRUMA,EAFFFFFFE7EA17,"100,0xEAFFFFFFE7EA17,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_17_high,on,Cooling,17,High,100,TRUMA,E2FFFFFFE7E217,"100,0xE2FFFFFFE7E217,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_18_low,on,Cooling,18,Low,100,TRUMA,F3FFFFFFE8F217,"100,0xF3FFFFFFE8F217,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_18_medium,on,Cooling,18,Medium,100,TRUMA,EBFFFFFFE8EA17,"100,0xEBFFFFFFE8EA17,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_18_high,on,Cooling,18,High,100,TRUMA,E3FFFFFFE8E217,"100,0xE3FFFFFFE8E217,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
cool_19_low,on,Cooling,19,Low,100,TRUMA,F4FFFFFFE9F217,"100,0xF4FFFFFFE9F217,56",inferred_from_verified_pattern,generated from verified Cooling temperature/fan pattern; byte values use 8-bit wraparound
